,Description,IncidentNum,Location,Agency,Date
0,SIMPLE BATTERY,210404006490,3900 BLOCK NW 79TH AVE,Doral Police,20210404234501
1,ASSAULT,PD210404106028,3200 BLOCK NW 81ST TER,Miami-Dade Police,20210404234501
2,BURGLARY - OTHER STRUCTURE,2104050021167,2400 BLOCK NW 18TH AV,Miami Police,20210404233501
3,BURGLARY - OTHER STRUCTURE,2104050021167,2400 BLOCK NW 18TH AV,Miami Police,20210404233501
4,BATTERY / DOMESTIC,2104050021157,500 BLOCK NW 20TH AV,Miami Police,20210404232401
5,SIMPLE BATTERY,21001912,200 BLOCK MIRACLE MILE,Coral Gables Police,20210404232101
6,VANDALISM,PD210404106011,1000 BLOCK NW 106TH ST,Miami-Dade Police,20210404232001
7,VEHICLE BREAK-IN/THEFT,PD210405106248,7600 BLOCK NW 35TH TER,Miami-Dade Police,20210404230001
8,VEHICLE BREAK-IN/THEFT,PD210404105966,8900 BLOCK N KENDALL DR,Miami-Dade Police,20210404223901
9,ASSAULT,PD210405106131,8900 BLOCK N KENDALL DR,Miami-Dade Police,20210404223901
10,ASSAULT,PD210404105965,6300 BLOCK NW 18TH AVE,Miami-Dade Police,20210404223601
11,POSSESSION OF COCAINE/ CONSTRUCTIVE POSSESSION,2104040021146,NW 15TH AV / NW 67TH ST,Miami Police,20210404223301
12,VANDALISM,PD210404106012,7400 BLOCK NW 36TH ST,Miami-Dade Police,20210404223001
13,PETIT THEFT - UNSPECIFIED / $100 TO LESS THAN,2104040021140,200 BLOCK NE 18TH ST,Miami Police,20210404221101
14,CRIMINAL MISCHIEF / VANDALISM,2104040021144,300 BLOCK SW 4TH AV,Miami Police,20210404220801
15,ASSAULT,PD210406107431,7600 BLOCK NW 17TH AVE,Miami-Dade Police,20210404220001
16,BURGLARY - MOTOR VEHICLE (CONVEYANCE),2104040021151,NW 11TH ST / NW 1ST AV,Miami Police,20210404215601
17,ASSAULT,PD210404105922,6900 BLOCK SW 114TH AVE,Miami-Dade Police,20210404215001
18,VANDALISM,PD210404105945,8800 BLOCK NW 22ND CT,Miami-Dade Police,20210404214701
19,GRAND THEFT - FROM MOTOR VEHICLE - $300 TO LESS THAN $5000,2104040021132,2900 BLOCK NE 2ND AV,Miami Police,20210404210201
20,SIMPLE BATTERY,2104040021134,1500 BLOCK  NW 1ST PL,Miami Police,20210404205901
21,THEFT - ALL OTHER,2104040021126,300 BLOCK NW 24TH ST,Miami Police,20210404203701
22,THEFT/LARCENY,PD210406107624,13600 BLOCK SW 26TH ST,Miami-Dade Police,20210404203001
23,THEFT/LARCENY,PD210405106888,MR EARLINGTON HEIGHTS,Miami-Dade Police,20210404201501
24,BATTERY / SIMPLE,2104040021124,3000 BLOCK SW 8TH ST,Miami Police,20210404200301
25,ASSAULT,PD210405107055,15400 BLOCK SW 34TH ST,Miami-Dade Police,20210404200001
26,SIMPLE ASSAULT,2104040021119,100 BLOCK NW 53RD ST,Miami Police,20210404195801
27,SIMPLE BATTERY,2104040021125,1200 BLOCK BRICKELL BAY DR,Miami Police,20210404195301
28,RETAIL THEFT,2104040021112,1000 BLOCK W FLAGLER ST,Miami Police,20210404193801
29,BURGLARY RESIDENTIAL,210404006477,5200 BLOCK GENEVA WAY,Doral Police,20210404193001
30,ASSAULT,PD210404105786,SW 105TH AVE & SW 180TH ST,Miami-Dade Police,20210404190701
31,THEFT/LARCENY,PD210406107345,7400 BLOCK N OAKMONT DR,Miami-Dade Police,20210404190001
32,ASSAULT,PD210404105820,14900 BLOCK N MIAMI AVE,Miami-Dade Police,20210404190001
33,SIMPLE ASSAULT / THREATS,21001909,200 BLOCK ARAGON AV,Coral Gables Police,20210404190001
34,GRAND THEFT - FROM MOTOR VEHICLE - $300 TO LESS THAN $5000,2104040021098,100 BLOCK NW 42ND AVE,Miami Police,20210404184401
35,THEFT OTHER,21001910,100 BLOCK ARAGON AV,Coral Gables Police,20210404183901
36,THEFT/LARCENY,PD210404105776,100 BLOCK NW 167TH ST,Miami-Dade Police,20210404183001
37,ASSAULT,PD210404105739,2700 BLOCK NW 45TH ST,Miami-Dade Police,20210404180401
